PERFIL,QT_TOTAL_HIT_PAYWALL,DIASNAVEGADOS,NOTICIASLIDAS,PES_GENERO,VISITAS_CAPA,USOU_APP,IDADE,ATR_PF_GEO_RENDA_FAM
False,14,19,0,False,49,True,37.56,3
False,0,1,2,False,0,False,39.26,3
False,4,22,24,True,0,False,37.79,3
False,0,1,2,False,0,False,31.36,2
False,3,2,3,False,0,False,27.41,3
False,2,2,3,False,0,False,28.37,3
False,3,8,7,True,1,False,30.61,3
False,0,3,4,False,0,False,65.33,3
False,10,13,13,False,0,False,51.74,3
False,0,24,6,True,35,False,61.86,4
False,0,3,0,True,10,True,85.61,4
False,0,7,6,True,0,False,25.42,3
False,0,52,89,True,332,True,49.18,4
False,18,20,10,False,17,True,21.95,6
False,14,20,8,False,22,True,35.07,5
False,0,14,6,True,9,True,71.89,4
False,10,6,5,True,0,False,39.11,3
False,30,18,0,False,75,True,60.83,3
False,6,3,0,False,20,True,47.65,3
False,0,5,6,True,0,False,26.46,3
False,0,59,197,False,462,True,40.89,3
False,0,5,7,False,0,False,60.26,3
False,0,25,0,False,0,False,68.44,3
False,6,15,16,False,1,False,42.26,2
False,7,3,0,True,8,True,78.74,3
False,0,3,1,True,0,False,68.35,3
False,12,17,0,False,17,True,40.34,3
False,0,5,3,False,0,False,39.74,3
False,0,2,1,True,0,False,74.17,3
False,0,43,44,False,138,True,38.3,4
False,0,35,57,True,0,False,49.43,3
False,0,27,74,False,4,False,43.97,3
False,0,3,3,True,0,False,32.92,4
False,0,4,1,False,4,False,40.46,3
False,0,11,1,False,1,False,35.79,3
False,26,39,20,False,112,False,70.92,3
False,0,2,2,True,0,False,29.32,5
False,10,18,0,False,26,True,51.44,3
False,5,7,9,False,0,False,30.96,4
False,0,6,3,True,0,False,38.48,3
False,0,1,0,True,0,False,66.42,4
False,0,5,1,False,0,False,44.05,5
False,0,1,2,False,0,False,42.57,3
False,22,21,8,True,0,False,60.63,4
False,24,26,11,True,4,False,21.95,3
False,0,5,1,True,0,False,45.89,3
False,0,1,1,False,0,False,55.41,4
False,22,19,16,False,0,False,41.95,3
False,17,42,24,False,100,False,51.63,5
False,51,18,7,False,0,False,83.63,3
False,2,24,30,False,0,False,39.7,3
False,0,1,2,False,0,False,60.15,3
False,58,29,26,False,0,False,41.14,5
False,0,1,5,True,0,False,39.05,4
False,0,1,1,False,1,False,52.27,4
False,0,26,6,False,32,False,39.13,3
False,0,4,2,True,3,False,38.95,5
False,15,30,1,False,84,True,40.19,3
False,0,60,1102,True,920,True,54.57,3
False,0,1,0,True,0,False,36.89,3
False,118,26,0,False,156,True,39.02,3
False,0,20,24,False,0,False,40.92,4
False,10,6,15,False,29,False,37.86,3
False,0,17,29,False,0,False,39.91,3
False,0,10,12,False,0,False,30.05,3
False,0,4,0,False,13,True,49.84,3
False,0,60,635,False,76,True,39.17,3
False,5,22,30,True,0,False,40.44,3
False,0,3,3,False,0,False,40.77,4
False,0,37,69,False,10,True,36.6,3
False,0,4,2,False,0,False,41.19,4
False,0,24,4,False,37,False,43.43,5
False,10,20,24,True,0,False,67.17,4
False,0,3,5,True,0,False,45.81,3
False,0,19,3,True,0,False,62.24,4
False,0,1,1,True,0,False,38.09,3
